199,Gordon Hayward\haywago01,SF,30,CHO,36,36,34.5,7.4,15.4,.482,1.9,4.8,.401,5.5,10.7,.518,.544,3.6,4.1,.871,0.9,4.6,5.5,4.1,1.4,0.4,2.0,1.6,20.4
200,Juan Hernangómez\hernaju01,PF,25,MIN,23,6,16.6,2.3,5.4,.416,1.0,3.0,.314,1.3,2.4,.545,.504,0.7,1.2,.630,0.9,3.3,4.2,0.6,0.4,0.1,0.5,1.0,6.2
201,Willy Hernangómez\hernawi01,C,26,NOP,24,2,15.8,2.6,5.0,.521,0.0,0.3,.143,2.6,4.8,.544,.525,1.0,1.6,.632,2.5,3.7,6.2,1.2,0.3,0.5,0.5,1.2,6.3
202,Tyler Herro\herroty01,SG,21,MIA,31,14,31.8,5.8,13.6,.424,1.8,5.6,.329,3.9,8.0,.490,.492,2.1,2.6,.813,0.5,5.1,5.5,3.4,0.7,0.4,2.3,1.4,15.5
203,Buddy Hield\hieldbu01,SG,28,SAC,41,41,35.0,5.6,14.2,.392,3.9,10.4,.377,1.7,3.8,.433,.530,1.5,1.8,.861,0.4,4.1,4.6,3.3,0.8,0.3,1.7,2.7,16.6
204,George Hill\hillge01,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
205,Solomon Hill\hillso01,PF,29,ATL,41,1,19.3,1.4,3.9,.354,0.9,2.9,.319,0.5,1.0,.452,.472,0.4,0.5,.857,0.5,1.8,2.3,0.9,0.7,0.1,0.6,1.6,4.1
206,Nate Hinton\hintona01,SG,21,DAL,6,0,3.2,0.5,2.2,.231,0.2,0.8,.200,0.3,1.3,.250,.269,0.2,0.3,.500,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
207,Aaron Holiday\holidaa01,PG,24,IND,40,6,18.1,2.6,6.9,.379,1.0,2.9,.342,1.6,4.0,.406,.451,0.9,1.1,.756,0.2,1.0,1.2,1.8,0.6,0.1,0.8,1.7,7.1
208,Jrue Holiday\holidjr01,PG,30,MIL,30,27,31.2,6.1,12.6,.483,1.6,4.6,.355,4.5,8.0,.556,.547,1.5,1.9,.807,1.2,3.3,4.5,5.0,1.8,0.5,1.8,1.8,15.4
209,Justin Holiday\holidju01,SG,31,IND,40,31,32.3,4.0,9.0,.444,2.6,6.4,.405,1.4,2.5,.545,.589,1.2,1.4,.821,0.6,3.3,3.9,1.7,1.2,0.4,0.8,2.1,11.7
210,Richaun Holmes\holmeri01,C,27,SAC,37,37,30.1,5.9,9.1,.651,0.1,0.2,.286,5.9,8.9,.659,.654,2.0,2.5,.806,2.5,6.2,8.7,1.8,0.7,1.6,1.3,3.9,14.0
211,Rodney Hood\hoodro01,SF,28,POR,36,5,19.1,2.0,5.3,.372,0.7,2.2,.308,1.3,3.1,.416,.435,0.3,0.3,.750,0.5,1.4,1.8,1.2,0.6,0.1,0.8,1.5,4.9
